Nv_data,tmake_SH_data,teig_SH_data,tfixP_SH_data,tmake_LR_data,teig_LR_data,tfixP_LR_data,Nv_data_log,tmake_SH_data_log,teig_SH_data_log,tfixP_SH_data_log,tmake_LR_data_log,teig_LR_data_log,tfixP_LR_data_log
2512.0,NaN,NaN,0.0,0.05063495,0.0063547,0.0,2512.0,NaN,NaN,NaN,0.05063495,0.0063547,NaN
2819.0,NaN,NaN,0.0,0.0522734,0.00631805,0.0,2819.0,NaN,NaN,NaN,0.0522734,0.00631805,NaN
3163.0,NaN,NaN,0.0,0.0564794,0.01019625,0.0,3163.0,NaN,NaN,NaN,0.0564794,0.01019625,NaN
3549.0,NaN,NaN,0.0,0.06246855,0.007094,0.0,3549.0,NaN,NaN,NaN,0.06246855,0.007094,NaN
3982.0,NaN,NaN,0.0,0.0742714,0.007797,0.0,3982.0,NaN,NaN,NaN,0.0742714,0.007797,NaN
4467.0,NaN,NaN,0.0,0.0878446,0.0090193,0.0,4467.0,NaN,NaN,NaN,0.0878446,0.0090193,NaN
5012.0,NaN,NaN,0.0,0.0913135,0.0094608,0.0,5012.0,NaN,NaN,NaN,0.0913135,0.0094608,NaN
5624.0,NaN,NaN,0.0,0.1086621,0.010564,0.0,5624.0,NaN,NaN,NaN,0.1086621,0.010564,NaN
6310.0,NaN,NaN,0.0,0.10853465,0.0113134,0.0,6310.0,NaN,NaN,NaN,0.10853465,0.0113134,NaN
7080.0,NaN,NaN,0.0,0.1231172,0.0138219,0.0,7080.0,NaN,NaN,NaN,0.1231172,0.0138219,NaN
7944.0,NaN,NaN,0.0,0.14110715,0.013781,0.0,7944.0,NaN,NaN,NaN,0.14110715,0.013781,NaN
8913.0,NaN,NaN,0.0,0.1636575,0.01537265,0.0,8913.0,NaN,NaN,NaN,0.1636575,0.01537265,NaN
10000.0,NaN,NaN,0.0,0.1798276,0.01908625,0.0,10000.0,NaN,NaN,NaN,0.1798276,0.01908625,NaN
11221.0,NaN,NaN,0.0,0.2068729,0.0191322,0.0,11221.0,NaN,NaN,NaN,0.2068729,0.0191322,NaN
12590.0,NaN,NaN,0.0,0.2276503,0.02471615,0.0,12590.0,NaN,NaN,NaN,0.2276503,0.02471615,NaN
14126.0,NaN,NaN,0.0,0.2621327,0.0303865,0.0,14126.0,NaN,NaN,NaN,0.2621327,0.0303865,NaN
15849.0,NaN,NaN,0.0,0.3264484,0.0346303,0.0,15849.0,NaN,NaN,NaN,0.3264484,0.0346303,NaN
17783.0,NaN,NaN,0.0,0.3153114,0.0435393,0.0,17783.0,NaN,NaN,NaN,0.3153114,0.0435393,NaN
19953.0,NaN,NaN,0.0,0.3552148,0.0444836,0.0,19953.0,NaN,NaN,NaN,0.3552148,0.0444836,NaN
22388.0,NaN,NaN,0.0,0.3958388,0.0497978,0.0,22388.0,NaN,NaN,NaN,0.3958388,0.0497978,NaN
25119.0,NaN,NaN,0.0,0.4333882,0.0725979,0.0,25119.0,NaN,NaN,NaN,0.4333882,0.0725979,NaN
28184.0,NaN,NaN,0.0,0.5110308,0.0836297,0.0,28184.0,NaN,NaN,NaN,0.5110308,0.0836297,NaN
31623.0,NaN,NaN,0.0,0.552226,0.07464975,0.0,31623.0,NaN,NaN,NaN,0.552226,0.07464975,NaN
35482.0,NaN,NaN,0.0,0.65423015,0.10460685,0.0,35482.0,NaN,NaN,NaN,0.65423015,0.10460685,NaN
39811.0,NaN,NaN,0.0,0.74246235,0.1092855,0.0,39811.0,NaN,NaN,NaN,0.74246235,0.1092855,NaN
44669.0,NaN,NaN,0.0,0.78288815,0.1158365,0.0,44669.0,NaN,NaN,NaN,0.78288815,0.1158365,NaN
50119.0,NaN,NaN,0.0,0.87609305,0.13536475,0.0,50119.0,NaN,NaN,NaN,0.87609305,0.13536475,NaN
56235.0,NaN,NaN,0.0,1.0447722,0.1829605,0.0,56235.0,NaN,NaN,NaN,1.0447722,0.1829605,NaN
63096.0,NaN,NaN,0.0,1.1405596,0.1891664,0.0,63096.0,NaN,NaN,NaN,1.1405596,0.1891664,NaN
70795.0,NaN,NaN,0.0,1.2299264,0.20072645,0.0,70795.0,NaN,NaN,NaN,1.2299264,0.20072645,NaN
79433.0,NaN,NaN,0.0,1.3741325,0.2258376,0.0,79433.0,NaN,NaN,NaN,1.3741325,0.2258376,NaN
89126.0,NaN,NaN,0.0,1.5785902,0.25985175,0.0,89126.0,NaN,NaN,NaN,1.5785902,0.25985175,NaN
100000.0,NaN,NaN,0.0,1.7904142,0.3165185,0.0,100000.0,NaN,NaN,NaN,1.7904142,0.3165185,NaN
112202.0,NaN,NaN,0.0,2.1776107,0.4050943,0.0,112202.0,NaN,NaN,NaN,2.1776107,0.4050943,NaN
125893.0,NaN,NaN,0.0,2.3409435,0.442421,0.0,125893.0,NaN,NaN,NaN,2.3409435,0.442421,NaN
141254.0,NaN,NaN,0.0,2.6176304,0.6281368,0.0,141254.0,NaN,NaN,NaN,2.6176304,0.6281368,NaN
158490.0,NaN,NaN,0.0,3.1461827,0.54699195,0.0,158490.0,NaN,NaN,NaN,3.1461827,0.54699195,NaN
177828.0,NaN,NaN,0.0,3.5562464,0.62064265,0.0,177828.0,NaN,NaN,NaN,3.5562464,0.62064265,NaN
199527.0,NaN,NaN,0.0,4.1834793,0.82836455,0.0,199527.0,NaN,NaN,NaN,4.1834793,0.82836455,NaN
223873.0,NaN,NaN,0.0,4.8016574,0.87438175,0.0,223873.0,NaN,NaN,NaN,4.8016574,0.87438175,NaN
251189.0,NaN,NaN,0.0,5.1953561,0.99202025,0.0,251189.0,NaN,NaN,NaN,5.1953561,0.99202025,NaN
281839.0,NaN,NaN,0.0,5.8223647,1.0126202,0.0,281839.0,NaN,NaN,NaN,5.8223647,1.0126202,NaN
316228.0,NaN,NaN,0.0,6.2212227,1.030093,0.0,316228.0,NaN,NaN,NaN,6.2212227,1.030093,NaN
354814.0,NaN,NaN,0.0,7.3121308,1.2728848,0.0,354814.0,NaN,NaN,NaN,7.3121308,1.2728848,NaN
398108.0,NaN,NaN,0.0,8.1441099,1.4268049,0.0,398108.0,NaN,NaN,NaN,8.1441099,1.4268049,NaN
446684.0,NaN,NaN,0.0,9.3010973,1.5957628,0.0,446684.0,NaN,NaN,NaN,9.3010973,1.5957628,NaN
501188.0,NaN,NaN,0.0,10.2962772,1.8724461,0.0,501188.0,NaN,NaN,NaN,10.2962772,1.8724461,NaN
562342.0,NaN,NaN,0.0,11.4695102,2.7828949,0.0,562342.0,NaN,NaN,NaN,11.4695102,2.7828949,NaN
630958.0,NaN,NaN,0.0,13.5731873,2.3404688,0.0,630958.0,NaN,NaN,NaN,13.5731873,2.3404688,NaN
707946.0,NaN,NaN,0.0,14.8872686,2.5822997,0.0,707946.0,NaN,NaN,NaN,14.8872686,2.5822997,NaN
794329.0,NaN,NaN,0.0,17.0449202,2.8630163,0.0,794329.0,NaN,NaN,NaN,17.0449202,2.8630163,NaN
891251.0,NaN,NaN,0.0,19.9145801,3.3011082,0.0,891251.0,NaN,NaN,NaN,19.9145801,3.3011082,NaN
1.0e6,NaN,NaN,0.0,22.4207964,3.7256345,0.0,1.0e6,NaN,NaN,NaN,22.4207964,3.7256345,NaN
