Nv_data,tmake_SH_data,teig_SH_data,tfixP_SH_data,tmake_LR_data,teig_LR_data,tfixP_LR_data,Nv_data_log,tmake_SH_data_log,teig_SH_data_log,tfixP_SH_data_log,tmake_LR_data_log,teig_LR_data_log,tfixP_LR_data_log
10.0,0.0002867,0.0001451,0.0,0.0002632,0.00015045,0.0,10.0,0.0002867,0.0001451,NaN,0.0002632,0.00015045,NaN
12.0,0.00033445,0.00013775,0.0,0.0002866,0.00015035,0.0,12.0,0.00033445,0.00013775,NaN,0.0002866,0.00015035,NaN
13.0,0.0003493,0.00013735,0.0,0.00029745,0.00014795,0.0,13.0,0.0003493,0.00013735,NaN,0.00029745,0.00014795,NaN
15.0,0.00037885,0.0001346,0.0,0.0003247,0.0001438,0.0,15.0,0.00037885,0.0001346,NaN,0.0003247,0.0001438,NaN
16.0,0.0004085,0.0001358,0.0,0.00033655,0.000144,0.0,16.0,0.0004085,0.0001358,NaN,0.00033655,0.000144,NaN
18.0,0.00045,0.0001308,0.0,0.0003566,0.00014535,0.0,18.0,0.00045,0.0001308,NaN,0.0003566,0.00014535,NaN
20.0,0.00049525,0.0001313,0.0,0.00038645,0.00014685,0.0,20.0,0.00049525,0.0001313,NaN,0.00038645,0.00014685,NaN
23.0,0.0005847,0.0001325,0.0,0.000432,0.00015835,0.0,23.0,0.0005847,0.0001325,NaN,0.000432,0.00015835,NaN
26.0,0.00065225,0.00014625,0.0,0.0004773,0.00016905,0.0,26.0,0.00065225,0.00014625,NaN,0.0004773,0.00016905,NaN
29.0,0.00071905,0.0001407,0.0,0.0005008,0.00017375,0.0,29.0,0.00071905,0.0001407,NaN,0.0005008,0.00017375,NaN
32.0,0.00075405,0.00015495,0.0,0.0005344,0.00017445,0.0,32.0,0.00075405,0.00015495,NaN,0.0005344,0.00017445,NaN
36.0,0.00091375,0.00017465,0.0,0.0005844,0.00019185,0.0,36.0,0.00091375,0.00017465,NaN,0.0005844,0.00019185,NaN
40.0,0.00099455,0.0001805,0.0,0.0006443,0.0002015,0.0,40.0,0.00099455,0.0001805,NaN,0.0006443,0.0002015,NaN
45.0,0.00137315,0.0001905,0.0,0.00075765,0.00022425,0.0,45.0,0.00137315,0.0001905,NaN,0.00075765,0.00022425,NaN
51.0,0.0014014,0.00020905,0.0,0.0007622,0.00023225,0.0,51.0,0.0014014,0.00020905,NaN,0.0007622,0.00023225,NaN
57.0,0.0016438,0.00021635,0.0,0.00089685,0.0002334,0.0,57.0,0.0016438,0.00021635,NaN,0.00089685,0.0002334,NaN
64.0,0.00181655,0.00023265,0.0,0.00086535,0.00023945,0.0,64.0,0.00181655,0.00023265,NaN,0.00086535,0.00023945,NaN
71.0,0.00214395,0.0002472,0.0,0.0009482,0.0002614,0.0,71.0,0.00214395,0.0002472,NaN,0.0009482,0.0002614,NaN
80.0,0.0027041,0.000271,0.0,0.0010444,0.0002742,0.0,80.0,0.0027041,0.000271,NaN,0.0010444,0.0002742,NaN
90.0,0.00343075,0.00029995,0.0,0.0011715,0.00027985,0.0,90.0,0.00343075,0.00029995,NaN,0.0011715,0.00027985,NaN
100.0,0.0042871,0.00033455,0.0,0.00128175,0.00029795,0.0,100.0,0.0042871,0.00033455,NaN,0.00128175,0.00029795,NaN
113.0,0.00563525,0.0003799,0.0,0.0014396,0.00032455,0.0,113.0,0.00563525,0.0003799,NaN,0.0014396,0.00032455,NaN
126.0,0.0078635,0.00044475,0.0,0.00157235,0.0003157,0.0,126.0,0.0078635,0.00044475,NaN,0.00157235,0.0003157,NaN
142.0,0.0131994,0.0004987,0.0,0.00178225,0.00033125,0.0,142.0,0.0131994,0.0004987,NaN,0.00178225,0.00033125,NaN
159.0,0.0161097,0.000582,0.0,0.00196185,0.00036625,0.0,159.0,0.0161097,0.000582,NaN,0.00196185,0.00036625,NaN
178.0,0.02073965,0.00068235,0.0,0.0021922,0.0003791,0.0,178.0,0.02073965,0.00068235,NaN,0.0021922,0.0003791,NaN
200.0,0.0274385,0.0008079,0.0,0.0024478,0.0004064,0.0,200.0,0.0274385,0.0008079,NaN,0.0024478,0.0004064,NaN
224.0,0.039345,0.0009899,0.0,0.0027361,0.0004375,0.0,224.0,0.039345,0.0009899,NaN,0.0027361,0.0004375,NaN
252.0,0.0551612,0.00135765,0.0,0.00307275,0.00066565,0.0,252.0,0.0551612,0.00135765,NaN,0.00307275,0.00066565,NaN
282.0,0.0794269,0.00181975,0.0,0.00342365,0.0008751,0.0,282.0,0.0794269,0.00181975,NaN,0.00342365,0.0008751,NaN
317.0,0.1153022,0.00235265,0.0,0.0038234,0.0011027,0.0,317.0,0.1153022,0.00235265,NaN,0.0038234,0.0011027,NaN
355.0,0.1645119,0.00294155,0.0,0.00428575,0.0013113,0.0,355.0,0.1645119,0.00294155,NaN,0.00428575,0.0013113,NaN
399.0,0.2351567,0.00355235,0.0,0.004783,0.0014335,0.0,399.0,0.2351567,0.00355235,NaN,0.004783,0.0014335,NaN
447.0,0.3145646,0.00411135,0.0,0.0054025,0.00154465,0.0,447.0,0.3145646,0.00411135,NaN,0.0054025,0.00154465,NaN
502.0,0.4373067,0.0050153,0.0,0.00597265,0.00168925,0.0,502.0,0.4373067,0.0050153,NaN,0.00597265,0.00168925,NaN
563.0,0.63786515,0.00619595,0.0,0.00682585,0.00185915,0.0,563.0,0.63786515,0.00619595,NaN,0.00682585,0.00185915,NaN
631.0,0.89617865,0.0075317,0.0,0.0075082,0.0020056,0.0,631.0,0.89617865,0.0075317,NaN,0.0075082,0.0020056,NaN
708.0,1.2817262,0.0094517,0.0,0.0087268,0.00216425,0.0,708.0,1.2817262,0.0094517,NaN,0.0087268,0.00216425,NaN
795.0,2.2644775,0.0146348,0.0,0.0105286,0.0024053,0.0,795.0,2.2644775,0.0146348,NaN,0.0105286,0.0024053,NaN
892.0,3.1910313,0.01972505,0.0,0.0135447,0.0025687,0.0,892.0,3.1910313,0.01972505,NaN,0.0135447,0.0025687,NaN
1000.0,4.5412382,0.03095825,0.0,0.0130626,0.00278535,0.0,1000.0,4.5412382,0.03095825,NaN,0.0130626,0.00278535,NaN
1123.0,6.7108618,0.0401657,0.0,0.0157057,0.0030771,0.0,1123.0,6.7108618,0.0401657,NaN,0.0157057,0.0030771,NaN
1259.0,9.4489559,0.04912155,0.0,0.0176237,0.00342,0.0,1259.0,9.4489559,0.04912155,NaN,0.0176237,0.00342,NaN
1413.0,13.5483718,0.1052541,0.0,0.0203972,0.00382895,0.0,1413.0,13.5483718,0.1052541,NaN,0.0203972,0.00382895,NaN
1585.0,NaN,NaN,0.0,0.0314954,0.0040635,0.0,1585.0,NaN,NaN,NaN,0.0314954,0.0040635,NaN
1779.0,NaN,NaN,0.0,0.0357414,0.0043924,0.0,1779.0,NaN,NaN,NaN,0.0357414,0.0043924,NaN
1996.0,NaN,NaN,0.0,0.0407055,0.0062125,0.0,1996.0,NaN,NaN,NaN,0.0407055,0.0062125,NaN
2239.0,NaN,NaN,0.0,0.0452639,0.0055811,0.0,2239.0,NaN,NaN,NaN,0.0452639,0.0055811,NaN
