Nv_data,tmake_SH_data,teig_SH_data,tfixP_SH_data,tmake_LR_data,teig_LR_data,tfixP_LR_data,Nv_data_log,tmake_SH_data_log,teig_SH_data_log,tfixP_SH_data_log,tmake_LR_data_log,teig_LR_data_log,tfixP_LR_data_log
10.0,0.0007678,0.000289,0.0,0.00059,0.0003461,0.0,10.0,0.0007678,0.000289,NaN,0.00059,0.0003461,NaN
13.0,0.0006769,0.0002967,0.0,0.0007959,0.0003735,0.0,13.0,0.0006769,0.0002967,NaN,0.0007959,0.0003735,NaN
16.0,0.0015898,0.0010319,0.0,0.0032065,0.0005587,0.0,16.0,0.0015898,0.0010319,NaN,0.0032065,0.0005587,NaN
20.0,0.002442,0.0006883,0.0,0.0030112,0.0010491,0.0,20.0,0.002442,0.0006883,NaN,0.0030112,0.0010491,NaN
26.0,0.0051337,0.0012446,0.0,0.0033502,0.0012473,0.0,26.0,0.0051337,0.0012446,NaN,0.0033502,0.0012473,NaN
32.0,0.003557,0.0011952,0.0,0.0014878,0.0017314,0.0,32.0,0.003557,0.0011952,NaN,0.0014878,0.0017314,NaN
40.0,0.0041895,0.0008352,0.0,0.0030669,0.0006141,0.0,40.0,0.0041895,0.0008352,NaN,0.0030669,0.0006141,NaN
51.0,0.0071795,0.0005793,0.0,0.0032615,0.0011783,0.0,51.0,0.0071795,0.0005793,NaN,0.0032615,0.0011783,NaN
64.0,0.0046401,0.0009511,0.0,0.0031516,0.0049179,0.0,64.0,0.0046401,0.0009511,NaN,0.0031516,0.0049179,NaN
80.0,0.008293,0.0004273,0.0,0.0021981,0.0007223,0.0,80.0,0.008293,0.0004273,NaN,0.0021981,0.0007223,NaN
100.0,0.0179045,0.0006135,0.0,0.0083629,0.0018302,0.0,100.0,0.0179045,0.0006135,NaN,0.0083629,0.0018302,NaN
126.0,0.0222762,0.000697,0.0,0.003325,0.0019842,0.0,126.0,0.0222762,0.000697,NaN,0.003325,0.0019842,NaN
159.0,0.1139218,0.0012649,0.0,0.0067142,0.0006595,0.0,159.0,0.1139218,0.0012649,NaN,0.0067142,0.0006595,NaN
200.0,0.1306489,0.0067394,0.0,0.0041175,0.0007642,0.0,200.0,0.1306489,0.0067394,NaN,0.0041175,0.0007642,NaN
