Nv_data,tmake_SH_data,teig_SH_data,tfixP_SH_data,tmake_LR_data,teig_LR_data,tfixP_LR_data,Nv_data_log,tmake_SH_data_log,teig_SH_data_log,tfixP_SH_data_log,tmake_LR_data_log,teig_LR_data_log,tfixP_LR_data_log
252.0,0.1579409,0.0010176,0.0,0.0071314,0.0012016,0.0,252.0,0.1579409,0.0010176,NaN,0.0071314,0.0012016,NaN
317.0,0.1677317,0.0010854,0.0,0.0062945,0.0024303,0.0,317.0,0.1677317,0.0010854,NaN,0.0062945,0.0024303,NaN
399.0,0.5752009,0.0013495,0.0,0.0117606,0.0033727,0.0,399.0,0.5752009,0.0013495,NaN,0.0117606,0.0033727,NaN
502.0,0.4934906,0.0030597,0.0,0.0097091,0.0032136,0.0,502.0,0.4934906,0.0030597,NaN,0.0097091,0.0032136,NaN
631.0,0.7405787,0.0053557,0.0,0.0116352,0.0043603,0.0,631.0,0.7405787,0.0053557,NaN,0.0116352,0.0043603,NaN
795.0,1.6028038,0.0075171,0.0,0.0143351,0.0044407,0.0,795.0,1.6028038,0.0075171,NaN,0.0143351,0.0044407,NaN
1000.0,2.7831178,0.0101391,0.0,0.0174012,0.0049961,0.0,1000.0,2.7831178,0.0101391,NaN,0.0174012,0.0049961,NaN
1259.0,6.0384514,0.0165258,0.0,0.0210165,0.0056768,0.0,1259.0,6.0384514,0.0165258,NaN,0.0210165,0.0056768,NaN
1585.0,NaN,NaN,0.0,0.0284855,0.0082888,0.0,1585.0,NaN,NaN,NaN,0.0284855,0.0082888,NaN
1996.0,NaN,NaN,0.0,0.0358632,0.008282,0.0,1996.0,NaN,NaN,NaN,0.0358632,0.008282,NaN
2512.0,NaN,NaN,0.0,0.0569341,0.0187987,0.0,2512.0,NaN,NaN,NaN,0.0569341,0.0187987,NaN
3163.0,NaN,NaN,0.0,0.0536018,0.0142674,0.0,3163.0,NaN,NaN,NaN,0.0536018,0.0142674,NaN
3982.0,NaN,NaN,0.0,0.1632997,0.1483782,0.0,3982.0,NaN,NaN,NaN,0.1632997,0.1483782,NaN
5012.0,NaN,NaN,0.0,0.1734883,0.0218799,0.0,5012.0,NaN,NaN,NaN,0.1734883,0.0218799,NaN
6310.0,NaN,NaN,0.0,0.1837584,0.0268442,0.0,6310.0,NaN,NaN,NaN,0.1837584,0.0268442,NaN
7944.0,NaN,NaN,0.0,0.3025406,0.1168888,0.0,7944.0,NaN,NaN,NaN,0.3025406,0.1168888,NaN
10000.0,NaN,NaN,0.0,0.3258608,0.03274,0.0,10000.0,NaN,NaN,NaN,0.3258608,0.03274,NaN
12590.0,NaN,NaN,0.0,0.2330466,0.036186,0.0,12590.0,NaN,NaN,NaN,0.2330466,0.036186,NaN
15849.0,NaN,NaN,0.0,0.290507,0.0378227,0.0,15849.0,NaN,NaN,NaN,0.290507,0.0378227,NaN
19953.0,NaN,NaN,0.0,0.7112723,0.0743273,0.0,19953.0,NaN,NaN,NaN,0.7112723,0.0743273,NaN
25119.0,NaN,NaN,0.0,0.662152,0.0915331,0.0,25119.0,NaN,NaN,NaN,0.662152,0.0915331,NaN
31623.0,NaN,NaN,0.0,0.7774435,0.1159708,0.0,31623.0,NaN,NaN,NaN,0.7774435,0.1159708,NaN
39811.0,NaN,NaN,0.0,0.9780992,0.1441963,0.0,39811.0,NaN,NaN,NaN,0.9780992,0.1441963,NaN
50119.0,NaN,NaN,0.0,1.3776153,0.3796333,0.0,50119.0,NaN,NaN,NaN,1.3776153,0.3796333,NaN
63096.0,NaN,NaN,0.0,1.5049462,0.2079567,0.0,63096.0,NaN,NaN,NaN,1.5049462,0.2079567,NaN
79433.0,NaN,NaN,0.0,1.7577004,0.3052037,0.0,79433.0,NaN,NaN,NaN,1.7577004,0.3052037,NaN
100000.0,NaN,NaN,0.0,2.4727644,0.3991201,0.0,100000.0,NaN,NaN,NaN,2.4727644,0.3991201,NaN
125893.0,NaN,NaN,0.0,3.1666034,0.5048079,0.0,125893.0,NaN,NaN,NaN,3.1666034,0.5048079,NaN
158490.0,NaN,NaN,0.0,3.9818036,0.6121334,0.0,158490.0,NaN,NaN,NaN,3.9818036,0.6121334,NaN
199527.0,NaN,NaN,0.0,4.9751285,0.6626273,0.0,199527.0,NaN,NaN,NaN,4.9751285,0.6626273,NaN
251189.0,NaN,NaN,0.0,5.8536508,0.8190707,0.0,251189.0,NaN,NaN,NaN,5.8536508,0.8190707,NaN
316228.0,NaN,NaN,0.0,7.8581894,1.458593,0.0,316228.0,NaN,NaN,NaN,7.8581894,1.458593,NaN
398108.0,NaN,NaN,0.0,12.298632,1.8485041,0.0,398108.0,NaN,NaN,NaN,12.298632,1.8485041,NaN
501188.0,NaN,NaN,0.0,13.1438808,2.3816325,0.0,501188.0,NaN,NaN,NaN,13.1438808,2.3816325,NaN
630958.0,NaN,NaN,0.0,15.5488394,2.6842972,0.0,630958.0,NaN,NaN,NaN,15.5488394,2.6842972,NaN
794329.0,NaN,NaN,0.0,19.5230609,3.3168647,0.0,794329.0,NaN,NaN,NaN,19.5230609,3.3168647,NaN
1.0e6,NaN,NaN,0.0,25.5344438,4.0476267,0.0,1.0e6,NaN,NaN,NaN,25.5344438,4.0476267,NaN
